WKT	id
"MULTIPOLYGON EMPTY"	
"MULTIPOLYGON (((555.81374071731 -299.04440406321,559.577631564773 -299.265809407178,565.481774070596 -300.668043252312,569.909880949964 -303.5463127239,574.337987829331 -307.753014259299,580.537337460445 -317.199642268617,589.983965469763 -330.77917003201,597.068936476751 -340.668608729264,597.659350727333 -342.882662168948,600.094809510985 -343.842085326144,602.308862950669 -347.679777954929,612.641112335859 -359.119054059962,616.109796058031 -364.949394784462,617.512029903164 -370.632131946317,619.578479780202 -376.905283358755,620.980713625335 -379.709751049021,622.309145689145 -382.366615176641,623.047163502373 -385.909100680135,623.194767065018 -388.196955901141,625.556424067348 -392.698864561832,629.984530946715 -395.577134033421,635.224457420634 -397.42217856649,638.102726892222 -398.824412411623,639.947771425292 -398.750610630301,643.268851584818 -402.145492571149,645.113896117888 -405.392770949352,648.434976277413 -403.76913176025,651.829858218262 -400.669456944693,655.962757972338 -399.341024880883,660.317063070382 -401.555078320567,663.711945011231 -403.031113947022,665.040377075041 -404.064338885541,669.985096423668 -404.580951354801,672.789564113934 -406.868806575808,677.955688806529 -411.96112948708,680.686354715473 -416.905848835707,682.309993904574 -421.99817174698,681.571976091346 -424.138423405341,676.405851398751 -426.869089314284,673.158573020548 -426.942891095607,670.57551067425 -426.721485751638,668.066250109276 -424.581234093277,665.187980637687 -422.957594904176,660.021855945091 -422.219577090948,658.841027443927 -422.367180653594,657.512595380116 -419.562712963328,656.922181129534 -419.488911182005,658.545820318635 -415.946425678511,658.767225662604 -413.953777582795,656.55317222292 -412.920552644276,654.560524127205 -414.617993614701,651.239443967679 -414.248984708087,648.582579840059 -415.429813209251,647.180345994926 -417.422461304967,646.958940650957 -420.817343245815,647.180345994926 -423.474207373435,648.87778696535 -425.024044781214,652.494074250167 -429.525953441904,658.103009630699 -434.323069227886,664.154755699167 -437.127536918152,670.870717799541 -438.308365419316,677.217670993301 -437.939356512702,678.841310182403 -438.529770763285,679.431724432985 -441.629445578842,680.833958278118 -444.876723957045,683.121813499125 -445.688543551596,684.302642000289 -447.016975615406,684.671650906903 -448.788218367153,686.000082970714 -448.935821929798,688.730748879657 -447.681191647311,688.066532847752 -449.821443305672,685.188263376163 -451.223677150805,681.276768966055 -451.297478932128,677.365274555947 -455.57798224885,675.003617553618 -458.161044595147,672.568158769966 -460.07989090954,668.361457234567 -462.589151474515,666.295007357528 -464.877006695521,663.711945011231 -468.27188863637,660.390864851705 -470.633545638699,658.103009630699 -471.666770577218,658.914829225249 -473.511815110288,661.05508088361 -475.504463206003,664.22855748049 -475.504463206003,667.697241202661 -471.888175921186,672.494356988643 -467.386267260496,675.446428241554 -464.360394226262,678.76750840108 -462.810556818483,680.760156496796 -465.393619164781,680.686354715473 -469.452717137534,683.564624187061 -473.364211547642,684.966858032194 -477.423309520396,682.752804592511 -484.655884090029,677.512878118593 -488.788783844105,673.158573020548 -491.667053315694,671.018321362187 -493.733503192732,667.697241202661 -498.087808290777,662.014504040807 -502.737320514113,658.39821675599 -505.394184641733,653.748704532654 -505.467986423056,649.246795871964 -505.394184641733,643.490256928786 -504.213356140569,639.726366081324 -502.66351873279,636.774294828412 -499.342438573264,633.231809324918 -497.054583352258,631.312963010525 -497.792601165486,631.755773698462 -499.342438573264,632.788998636981 -501.630293794271,634.486439607405 -504.582365047183,635.298259201956 -507.68203986274,633.453214668886 -507.829643425385,629.910729165392 -506.35360779893,626.811054349835 -505.098977516442,623.858983096924 -504.877572172474,620.537902937398 -504.803770391151,616.405003183322 -503.032527639404,614.78136399422 -501.999302700885,614.338553306284 -499.121033229296,614.928967556866 -497.275988696226,617.733435247132 -494.98813347522,617.14302099655 -493.14308894215,615.519381807448 -491.81465687834,614.043346180993 -491.002837283789,611.238878490726 -490.412423033207,608.139203675169 -490.633828377175,604.670519952998 -490.48622481453,602.235061169346 -490.633828377175,600.906629105536 -489.895810563947,600.906629105536 -487.681757124264,603.415889670511 -486.427126841776,602.530268294637 -484.582082308706,600.463818417599 -483.991668058124,599.356791697757 -481.999019962409,598.692575665852 -480.522984335953,599.947205948339 -478.308930896269,601.128034449504 -477.27570595775,600.316214854953 -476.168679237908,599.504395260403 -473.880824016902,598.692575665852 -472.847599078383,598.987782791143 -470.485942076053,601.570845137441 -470.264536732085,602.0874576067 -470.043131388117,601.497043356118 -468.493293980338,600.75902554289 -468.27188863637,600.390016636276 -466.722051228591,599.209188135112 -466.353042321977,597.880756071301 -465.393619164781,598.10216141527 -463.548574631711,600.168611292308 -462.220142567901,602.235061169346 -461.40832297335,604.153907483739 -460.670305160122,605.77754667284 -460.227494472185,608.43441080046 -460.07989090954,610.27945533353 -459.858485565571,611.534085616018 -458.899062408375,612.567310554537 -457.865837469856,610.427058896176 -455.725585811495,608.95102326972 -454.397153747685,607.253582299296 -453.511532371811,605.629943110194 -453.290127027843,604.44911460903 -454.323351966362,603.120682545219 -455.873189374141,601.792250481409 -457.127819656628,601.201836230827 -457.201621437951,600.094809510985 -456.832612531337,598.840179228498 -456.168396499432,597.290341820719 -455.430378686204,596.626125788814 -454.913766216944,597.216540039396 -453.290127027843,597.511747164687 -451.297478932128,597.068936476751 -449.304830836412,595.223891943681 -449.895245086995,593.969261661193 -451.297478932128,591.460001096219 -453.21632524652,590.500577939022 -453.659135934457,587.548506686111 -451.88789318271,584.596435433199 -449.600037961703,582.087174868224 -448.271605897893,580.611139241768 -446.500363146146,581.570562398965 -444.360111487785,583.120399806743 -442.441265173393,583.784615838648 -439.636797483127,581.865769524256 -435.208690603759,580.611139241768 -434.913483478468,579.06130183399 -436.979933355506,579.06130183399 -441.112833109582,577.954275114148 -443.105481205298,576.109230581078 -445.909948895564,575.445014549173 -447.607389865988,574.559393173299 -449.452434399058,572.566745077584 -450.116650430963,572.19773617097 -451.666487838741,569.614673824672 -450.633262900222,565.555575851919 -449.526236180381,562.013090348425 -448.71441658583,562.160693911071 -446.574164927469,555.592335373342 -446.352759583501,552.418858776462 -445.909948895564,550.573814243392 -442.884075861329,548.728769710323 -440.965229546937,545.702896676088 -440.448617077677,543.488843236404 -440.817625984291,543.562645017727 -442.957877642652,541.643798703335 -442.441265173393,539.429745263651 -440.374815296354,540.167763076879 -437.86555473138,542.677023641854 -436.610924448892,547.769346553126 -432.773231820107,552.345056995139 -428.34512494074,558.618208407577 -423.32660381079,563.267720630912 -420.374532557878,567.843431072925 -414.691795396023,576.404437706369 -407.45922082639,579.87312142854 -402.145492571149,579.87312142854 -398.603007067655,581.71816596161 -397.495980347813,583.415606932034 -393.43688237506,584.448831870553 -388.344559463787,587.548506686111 -383.990254365742,586.810488872883 -379.193138579761,586.367678184946 -374.174617449811,581.644364180287 -364.727989440494,576.552041269015 -355.650370337791,572.419141514938 -347.532174392284,570.3526916379 -342.218446137043,569.171863136736 -339.340176665454,567.474422166312 -331.738593189206,564.965161601337 -326.203459589997,562.234495692393 -320.520722428142,558.987217314191 -316.018813767452,556.773163874507 -311.959715794698,555.887542498633 -305.834167944907,554.928119341437 -301.996475316122,555.149524685405 -300.520439689666,555.81374071731 -299.04440406321)))"	"2"
"MULTIPOLYGON EMPTY"	
